cümle,entity,label,sentiment
"""Birleşik Demokratik Parti lideri.""","""Birleşik Demokratik Parti""","""Kurum""","""nötr"""
"""Ürünün altın rengini eşime aldım. Telefon gayet güzel ve hızlı, bizim gibi orta kullanıcılar için ideal bir Üründür.""","""altın rengi""","""Renk""","""pozitif"""
"""Ürünün altın rengini eşime aldım. Telefon gayet güzel ve hızlı, bizim gibi orta kullanıcılar için ideal bir Üründür.""","""Telefon""","""Ürün""","""pozitif"""
"""650 TL'ye alınacak en iyi telefondur.""","""650 TL""","""Tutar""","""pozitif"""
"""Eşim devamlı Fairy kullanıyor. Bu Ürün yeni çıktı diye biliyorum, Fairy tabletin yanında hediye geldi.""","""Fairy""","""Ürün""","""pozitif"""
İki çalışma da yıllar boyunca ay hakkında en kapsamlı bilgileri veren kaynak kabul edildi.,ay,Konu,"""nötr"""
Kolye 2.5 cm boyutunda kalpli kısım 0.5 cm boyutunda kelebekteki pırlanta 0.1 cm boyutundadır.,"kolye, pırlanta",Ürün,"""nötr"""
Gayet güzel Ürün bildiğiniz çay makinası işte.. fincan ile çay içiyoruz.. bardak çıkıyor..,çay makinası,Ürün,"""pozitif"""
İngilizlere karşı Irak güçlerinin yanında savaşmak için silahlar ve gönüllüler gönderdi.,"İngilizler, Irak güçleri",Taraf,"""nötr"""
Ürünün fiyat kalite performansı gayet iyi dbk ayarında diyebilirim.,dbk,Marka,"""pozitif"""
Romantik filmden hoşlananların kesinlikle kaçırmaması gereken bir film.,romantik film,Tür,"""pozitif"""
Sorunu çözmek ve demokrasiyi yeniden işler kılmak için ordunun yönetime el koyması isteniyordu.,ordu,Kurum,"""nötr"""
Ayrıca geçidin bulunduğu noktada Soğuk Pınar isimli soğuk su kaynağı vardır.,Soğuk Pınar,Yer,"""nötr"""
Bayburt’un Demirözü ilçesine komşudur.,"Bayburt, Demirözü",Yer,"""nötr"""
Ülkesine dönüp Kahire Üniversitesi Edebiyat Fakültesi Felsefe bölümünde hocalık yapmaya başladı.,Kahire Üniversitesi,Kurum,"""nötr"""
